JUGADOR;CLUB;NACIONALIDAD;GOLES;AUTOGOL
AGUIRRE SOTO RODRIGO SEBASTIAN;L.D.U.QUITO;URUGUAYA;12;No
ALEMAN ALEGRIA CHRISTIAN FERNANDO;BARCELONA S.C.;ECUATORIANA;6;No
ALVARADO CARRIEL ALEXANDER ANTONIO;S.D.AUCAS;ECUATORIANA;1;No
ALVEZ SAGAR JONATAN DANIEL;BARCELONA S.C.;URUGUAYA;2;No
AMARILLA LENCINA LUIS ANTONIO;U.CATOLICA;PARAGUAYA;16;No
AMIEVA JUAN MARTIN;MUSHUC RUNA S.C.;ARGENTINA;4;No
ANANGONO LEON JUAN LUIS;L.D.U.QUITO;ECUATORIANA;3;No
ANGULO ARROYO DANIEL PATRICIO;C.S.EMELEC;ECUATORIANA;5;No
ANGULO MEDINA JULIO EDUARDO;L.D.U.QUITO;ECUATORIANA;1;No
ANGULO TENORIO BRYAN DENNIS;C.S.EMELEC;ECUATORIANA;5;No
ARBOLEDA RUIZ CARLOS ALEXI;MACARA;ECUATORIANA;1;No
ARCE MINA BILLY VLADIMIR;C.S.EMELEC;ECUATORIANA;2;No
ARCE MINA BILLY VLADIMIR;BARCELONA S.C.;ECUATORIANA;1;No
ARCE MINA LUIS ARTURO;EL NACIONAL;ECUATORIANA;2;No
ARIAS CHIRIBOGA KEVIN GERMAN;EL NACIONAL;ECUATORIANA;1;No
ARMAS BENAVIDES DIEGO ANDRES;U.CATOLICA;ECUATORIANA;3;No
AVILES RODRIGUEZ IGNACIO LAUTARO;FUERZA AMARILLA S.C.;URUGUAYA;1;No
AYOVI PLATA JOSE MANUEL;L.D.U.QUITO;ECUATORIANA;3;No
BALDA RODRIGUEZ FABERTH MANUEL;EL NACIONAL;ECUATORIANA;2;No
BARREIRO MAXIMILIANO FABIAN;S.D.AUCAS;ECUATORIANA;5;No
BATALLA CARREÑO CESAR ROBERTO;FUERZA AMARILLA S.C.;ECUATORIANA;1;Sí
BECERRA RAUL OSCAR;D.CUENCA;ARGENTINA;17;No
BEDOYA CAICEDO ANTHONY PATRICIO;S.D.AUCAS;ECUATORIANA;2;No
BEDOYA CAICEDO ANTHONY PATRICIO;D.CUENCA;ECUATORIANA;1;No
